name,ABA_routing,bank_country,account_number,IBAN,swift11,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Michael Johnson,023602948,GB,GKPZ60379415812069,GB27DTWE89484963845089,GGWCGB1BBX3,2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0,0.763243459770411
Michael Johnson,023602948,GB,GKPZ60379415812069,GB27DTWE89484963845089,GGWCGB1BBX3,5,439.26,1,0,Surburban,0,Multichannel,Buy One Get One,0,0.5852579381109453
Kara Jackson,022204033,GB,HWZD14990978490487,GB52YSTR23847480699057,SYNNGBZA8BX,1,50.62,1,0,Urban,0,Web,No Offer,0,1.6918046820917612
Carl Ross,073475060,GB,NPGE68261790463200,GB34PPOV40908680368002,DCHUGBTM5YJ,9,29.99,1,0,Urban,0,Web,No Offer,0,0.33589219964521577
Michael Boyd,127123679,GB,UVAW92824255743557,GB71ESLU11991291312252,TPBJGBSHGML,3,1167.93,1,1,Rural,1,Web,Buy One Get One,0,0.49352887965326864
Robert Jones,088613639,GB,LNRC42626888860290,GB59YSPM58865428089908,TGZKGB92UD6,2,542.34,0,1,Urban,1,Phone,No Offer,0,0.3969486656869985
Anthony Johnson,055097110,GB,LBER28236502977252,GB38IUNA60361605240481,LHRTGBK1LJP,4,29.99,1,0,Urban,0,Phone,Buy One Get One,0,1.1254738119509087
John Harrison,048891763,GB,CCGK68198235344726,GB53OKJR84012667749716,WRZNGBFYKVL,4,72.38,1,0,Rural,1,Web,Buy One Get One,1,1.979784489897245
Phillip Bell,037170291,GB,EWFZ63376797144241,GB27LMIP22178612801617,NAGZGBAZVK8,8,1137.96,0,1,Surburban,1,Phone,Discount,0,1.19150651410118
James Davis,088290861,GB,WJER73901021178418,GB96AJOL17130482640516,FFXJGBSHV5N,3,29.99,0,1,Surburban,1,Phone,No Offer,0,0.7578398423408902
George Mendez,075360458,GB,NUQN76282242376984,GB39ZVWF53811609386600,GDPBGBSV5IJ,11,182.32,1,0,Surburban,0,Phone,Discount,0,0.9082374497384285
Christopher Grant,098481055,GB,MACE58822392488778,GB88KFXG13320903782901,ZPPBGBFKF5A,9,57.53,1,0,Urban,0,Phone,No Offer,0,1.6590349626495695
Sandra Brewer,032685529,GB,VBHR16336113455499,GB52XGAM72242040091441,HLMZGBSZ4DY,2,518.53,0,1,Surburban,1,Phone,Discount,1,1.4242572949523575
Stacy Morgan,120613539,GB,ZGLB87622229769489,GB93DIDG09226140882109,FEJAGBYRPPF,10,327.18,0,1,Urban,0,Phone,Buy One Get One,0,0.4984659876450356
Susan Young,082443054,GB,ZLNM98961089049238,GB89QRSR01349736973698,NOHNGB82HXO,1,29.99,1,0,Rural,1,Web,Discount,0,0.7799706512271867
Matthew Gray,128407624,GB,HSVJ12356594477161,GB40VAHC61749671597155,YNHAGBK4YHO,2,102.99,0,1,Surburban,0,Phone,No Offer,0,1.1185165203997431
Geoffrey Estrada,109067452,GB,SIKK77875174581790,GB39VGKA85008839495349,NWVUGBTBJ7O,10,167.85,0,1,Surburban,0,Web,Discount,0,1.4980239148899064
Rhonda Carter,078027196,GB,XJVV89573586803654,GB68ROZA32821042279320,CDEUGBRVNBX,1,407.09,1,0,Surburban,0,Web,No Offer,0,1.5263485734562312
Lori Ashley,088407586,GB,HSSQ91279810469738,GB56FBGI01540808892478,CFLRGBYDCTW,9,29.99,0,1,Surburban,1,Phone,No Offer,0,0.8769951571779963
Shannon Fuller,088313832,GB,DQHT29350366886054,GB21KDJE74434475452135,AAMJGBFXH6U,5,258.91,0,1,Urban,1,Web,Discount,1,1.137807958780296
Theresa Stewart,086902342,GB,RXYK74515375437744,GB47ZUSU27614366159609,MKAQGB6Q8Z3,6,78.69,0,1,Surburban,0,Phone,Discount,0,0.41252618944257036
Adam Conway,053468453,GB,GCKJ58744362017310,GB35FCFG31387777953540,QBGBGBWBYRS,3,133.51,1,0,Urban,0,Web,Discount,0,1.4977497561971493
Tyler Schultz,110602495,GB,ESKC75389088286245,GB27QIWP53035831878552,UZUBGBWS1IB,2,836.65,1,1,Surburban,1,Phone,Buy One Get One,0,1.1610642700078628
Bethany Garza,024855969,GB,YBHW14571414232699,GB10WWLG83593111742956,UVWFGBM531H,1,60.71,0,1,Rural,1,Phone,Buy One Get One,0,1.3255439506299962
Gregory Hale,101400693,GB,NSAJ86232262571347,GB94ZNPQ89638084109841,DZPUGBXGMI0,4,557.47,1,0,Urban,1,Web,No Offer,0,1.091000845030744
Joshua Coleman,061438488,GB,XZEY85220006891241,GB95KNLW05597558346629,AGLYGB0BDV6,2,189.02,0,1,Urban,1,Phone,No Offer,0,0.45503068826043835
Alan Rios,025114104,GB,HXLG71318312905756,GB49VIXV24510747349424,UGWLGBZEHDF,6,127.2,0,1,Surburban,0,Phone,No Offer,0,0.3279804625793573
Brandon Nguyen,092935031,GB,KVOL56674563604760,GB79JOEX47680689269953,EGICGB9KC6C,3,584.63,1,1,Surburban,1,Web,No Offer,0,0.4492424172424647
Joshua Barnes,033690018,GB,OABY55969312935359,GB60RTZG50456201679253,GITTGBKNUZ3,11,120.14,1,0,Urban,0,Web,Discount,0,1.5884869609831138
Brian Novak,029791329,GB,NJFS36780785844652,GB05CBXO29992367122052,ALKCGBC52FP,4,164.7,1,0,Surburban,0,Phone,No Offer,0,0.29706721913454714
Daniel Strickland,107221342,GB,PDUC33560608799173,GB73APXS97518115756441,FBQCGB1XWHZ,11,52.08,0,1,Urban,0,Web,Buy One Get One,0,1.5007319779599029
Katherine Figueroa,045174629,GB,DSWV27903417410526,GB95NDYM47259390634104,FPOOGBOECSJ,2,145.76,0,1,Surburban,1,Web,No Offer,1,2.0148686482600495
Jodi Williams,023032411,GB,DDIV91354422873963,GB26NFQB07370495194847,GUTUGBTYD8U,5,197.48,1,0,Rural,0,Phone,No Offer,0,1.011731053186052
Kelly Jackson,084353689,GB,DZSN42249932602451,GB07NHZV40460600713819,YZKSGBOJZ6Y,1,895.43,0,1,Surburban,1,Web,Buy One Get One,0,0.9043839925432404
John Hurley,034825507,GB,OYZM76102875304317,GB74VEZZ10417496967629,UFSTGBMTAP6,2,378.5,0,1,Urban,0,Web,Discount,1,2.3080176474878806
Lauren Parker,080219280,GB,SXLK21989692893911,GB31NPII64811673037385,FEHKGBVPYSS,10,29.99,1,0,Surburban,0,Phone,No Offer,0,1.3377145286548222
Henry Brooks,036756810,GB,PLDB05348558880527,GB75DPKE61538760079123,NKLCGBZ4M0Y,3,1973.87,1,0,Surburban,1,Multichannel,No Offer,0,0.4846143908084245
Tina Golden,101267849,GB,HIMT66041057966141,GB96LAAZ44009070381182,ZJKKGBYT0TF,9,29.99,0,1,Surburban,1,Web,Discount,0,0.949120155764383
Ryan Freeman,049680591,GB,ELJR63886916612158,GB89DRNC23093339907551,RGGEGBPS6R5,1,219.3,0,1,Surburban,0,Phone,Buy One Get One,0,0.3749441708282575
Jennifer Phillips,108864339,GB,JONQ24843264515510,GB35DZPS52739364561389,MEFUGB27F3M,1,253.18,0,1,Surburban,0,Multichannel,Discount,0,1.2348320341775019
Gail Landry,053915647,GB,REUG64836139827648,GB47EAYP63175927195617,VKVNGB30UDB,6,507.25,0,1,Urban,1,Phone,Discount,0,0.9476820738858044
Brandy Osborne,035214764,GB,GFDM96802166193238,GB83ORGX69124225816952,CGUMGBMEQ9R,11,228.09,0,1,Surburban,1,Web,No Offer,0,1.3565941784661357
Seth Camacho,052349227,GB,GBAI83804772602126,GB18TTIF75007924125863,ZLQSGBRMXOA,2,458.41,0,1,Surburban,0,Multichannel,Discount,0,1.5242928514211416
William Turner,073775139,GB,SSPE29032017162649,GB86XGQW12744792631115,CZSQGBIZKMZ,9,29.99,1,0,Urban,0,Web,Discount,0,1.0898320106122532
Richard Williams,012779235,GB,XYFD93793991162381,GB81QWSD92081651471843,BTIIGB1VTP2,1,305.09,1,1,Surburban,0,Phone,Buy One Get One,1,2.031284716124474
Rebecca Greene,021514245,GB,KCPO65600014605810,GB61DZJQ41969591191137,JVOGGBCB35O,1,29.99,1,0,Rural,1,Phone,Buy One Get One,0,0.7451473633824068
Alexandria Pena,041243538,GB,ZBJG91191093731114,GB37FJSL06176304387125,DTFSGB6WLRX,8,59.76,0,1,Urban,1,Web,Discount,0,0.7674560135983164
Daniel Soto,065998953,GB,WLOO11684930098954,GB41BDJF28098422643298,RZRUGBQE2NG,10,131.95,0,1,Surburban,0,Phone,No Offer,1,1.5844240137250625
Ashley Liu,010153170,GB,NWLR89769784956695,GB09UBKP72924528394266,BRLRGB1A30Y,9,89.96,1,0,Surburban,0,Web,Discount,1,2.2019264533509117
Kimberly Moore,042680624,GB,ASBJ29543451148260,GB41DBEK58916486701672,DJCPGB85NUD,9,220.51,1,0,Urban,0,Multichannel,Discount,0,1.6793541957795792
Ryan Tanner,119941649,GB,LVJN05714330777566,GB44CKWD46218381019503,STKDGBYCOXN,3,211.88,1,1,Surburban,0,Web,Buy One Get One,0,0.9097369349540996
Tammy Jimenez,019181020,GB,ZDVK30343386826089,GB85KJJW79981233082646,HZSCGBB9HOA,10,161.65,1,0,Surburban,0,Web,Buy One Get One,0,0.9046101688657744
Dennis Carter,106333309,GB,QQWL51494239791238,GB93MAUY42042976563333,IAZAGBTEV33,9,29.99,0,1,Surburban,1,Web,No Offer,0,0.5533127408398368
Heather Johnson,100814536,GB,GHWK87985158865509,GB52SGKS11738288677481,MBZJGBSR5M2,1,79.5,0,1,Surburban,0,Web,No Offer,0,1.4607739434764706
Lindsay Christian,111690383,GB,STOG20355659675751,GB79LPCL43141804812803,NPENGB8NHDO,2,428.74,1,0,Rural,0,Phone,Discount,0,1.349392423549089
Victor Mcguire,092637407,GB,LEJW84734959737897,GB59PLAD80874906336788,GWYZGB3F5SL,2,29.99,0,1,Urban,0,Web,Discount,0,1.331173246785377
Olivia Mcdonald,022383268,GB,HBRW93176015161978,GB11XQGP59538231851217,TBFRGBC2ZJG,9,162.59,0,1,Urban,0,Phone,Discount,1,2.1991124010267993
Christopher Bright,067732324,GB,VCVG96559168903432,GB66NKQY61750415976343,BWHQGBS1KIP,6,29.99,0,1,Surburban,0,Web,Buy One Get One,0,1.1026298724832801
Jeremy Cox,122943061,GB,YNWR00272520257019,GB68YVHJ47793219429254,KXWLGBB5TFJ,7,729.01,0,1,Rural,1,Phone,No Offer,0,1.0076929408318889
Michael Savage,048238944,GB,MSRN49428685953735,GB22HZBB86283106327208,SUVKGBU81YD,10,466.25,0,1,Urban,0,Phone,No Offer,0,0.538504261590079
David Carrillo,121519946,GB,TKEE44569490301010,GB39OHPG73244766838793,JEFBGBJS47Y,7,235.14,0,1,Urban,1,Phone,Discount,0,1.665808385109031
Leslie Travis,080561543,GB,QSMU01873948451024,GB26SXGS12767665680795,QLGZGB0KPEU,5,290.86,1,0,Urban,1,Web,No Offer,0,1.2434003148934598
Jason Harris,029007466,GB,RXEF44467456879265,GB15UGGZ25708034646838,GIILGBNEI5C,6,29.99,1,0,Urban,1,Phone,Buy One Get One,0,0.9447914716399413
Kara Miller,040815747,GB,AMRO07590949333214,GB05NPDT99173916088597,SKPAGB2QQI0,8,60.9,0,1,Rural,1,Phone,No Offer,0,0.4186819346069701
Joseph Foster,076755813,GB,OADK90581057105280,GB33XRLE42565359024533,MYVEGBKD4AE,1,249.24,0,1,Urban,1,Multichannel,Discount,0,1.2111952869198879
Nichole Hall,062494382,GB,IHCY99885915518888,GB88LCNJ12897841067068,NHCHGB3X298,12,29.99,0,1,Urban,1,Web,No Offer,0,0.5382996724225977
Alexis Burnett,112399557,GB,KGIT91178719083396,GB35XDKZ24485225419445,WVXBGBNYJKF,7,548.91,0,1,Urban,1,Phone,Buy One Get One,1,2.119008782162779
Austin Thomas,053519603,GB,DSYG91226796080228,GB46OUBC56163031893273,DJFKGBFLGIK,4,770.38,0,1,Rural,1,Multichannel,No Offer,0,0.7876370006588431
Shelley Miller,085004555,GB,PTSY81347104641372,GB12NETW16742791643540,QYAFGBD0ONM,4,356.73,0,1,Surburban,0,Web,No Offer,0,1.3411169633111664
Laurie Williams,014468492,GB,KHEI35914605753279,GB23EAOV04730251706381,MEQBGBFYEWP,1,29.99,1,0,Urban,0,Phone,No Offer,0,1.4711445292650578
Randy Hensley,037998949,GB,MKNW91789741397296,GB43RXPW61154883365020,RLSLGB8ADEI,3,34.22,1,0,Urban,1,Phone,Discount,0,0.9833484667969502
Christopher Greene,123396219,GB,WDRX39148152875742,GB18ITJB23537527535044,LOEIGBF8TTR,2,435.33,0,1,Surburban,0,Web,Buy One Get One,0,0.3557922950504211
Steve Liu,046390855,GB,BDYN13948236471628,GB22IUDY09807619945604,GYWGGBZBJWD,3,390.34,1,0,Urban,0,Web,No Offer,0,1.104187194710203
Daniel Moss,105779087,GB,ITXR58314189818893,GB84PSXM01926493498562,GNRJGB4HJNT,6,98.8,0,1,Rural,1,Phone,Discount,1,2.3935274579838453
Paul Dawson,051928267,GB,AMPZ85958881019669,GB89EGDE68002512254856,ZRNRGBDGZ1F,9,744.22,1,0,Rural,1,Web,No Offer,0,1.3899966110162512
Steven Shaw,028626929,GB,QXOO16117977347154,GB93UELL18072389042968,LNCMGBYO6R4,9,45.35,1,0,Rural,1,Phone,No Offer,0,1.3413912315217043
Mary Morales,048300445,GB,IPYI85473744316713,GB85DSCY51351036630258,HWPUGBF7BCO,10,300.6,1,1,Urban,0,Multichannel,Discount,0,0.4619915008738251
Maria Kim,110079604,GB,MGND87008028085367,GB64SNDH07367598378978,YMRBGBNLVZI,2,809.07,1,0,Urban,1,Phone,Discount,0,1.7473462937650663
Michelle Carson,060950475,GB,TCKL97199192306920,GB04XKEJ13357455955217,DXQRGB4KAQW,1,169.31,0,1,Rural,1,Web,Buy One Get One,0,0.9785424307636046
Eric Blair,010667255,GB,YLYS01585941392457,GB22DAOK38733878226216,HXDVGBWT4I4,11,206.97,1,0,Surburban,0,Web,Discount,0,1.3104474805627748
Richard Ellis,038156926,GB,OECQ46590109056291,GB05VODG19037827524678,YRVDGBNQKHV,2,45.34,1,0,Urban,0,Web,Buy One Get One,0,1.3940543878517464
Brandon Conway,104096541,GB,OWTV21690750965147,GB33JBPQ23029606369564,LAHCGBDRSCF,3,216.08,0,1,Urban,0,Phone,No Offer,0,1.3658748262607834
Peter Avila,012033049,GB,XVHH62520005006422,GB50ZGVJ16425775300691,VHXMGBIJ978,9,29.99,1,0,Urban,0,Web,Buy One Get One,0,1.105604507794031
Jennifer Patel,047113251,GB,ACOM93277900459674,GB83LUYV66603148348556,KNJUGBF6MEQ,1,286.31,1,1,Surburban,0,Web,No Offer,0,1.647083366627958
Margaret Harper,066492063,GB,WYEX89739172069963,GB35VSBT73109598745315,TTZVGBAGTTW,7,78.57,1,0,Urban,1,Web,Buy One Get One,0,0.4541922106446753
John Marsh,109894191,GB,XUZC18560181915231,GB26BNCQ64342281047838,ZXTMGB69UT1,9,78.62,1,0,Urban,0,Web,Discount,0,1.2252743398323147
Jenny Wang,115920431,GB,XDLO78664050560351,GB89OJKY50694907932604,GQOVGBBUEZU,5,494.26,1,1,Surburban,1,Phone,Discount,0,1.11763514721811
Jennifer Brown,057026367,GB,QUXM14874469786250,GB35HHJS64481496209652,KEKQGBF1TXH,2,531.69,0,1,Urban,1,Phone,Buy One Get One,0,0.8605323352888803
Michael Carrillo,036306419,GB,VPSV90235407207532,GB23SISZ90134738336559,YQMGGBQNMUX,3,57.33,0,1,Surburban,0,Web,Buy One Get One,1,2.341038022320605
Kevin Walker,020384243,GB,IZYL93300360145966,GB35OATJ47607280366055,UUZUGBU50TY,3,257.56,1,1,Surburban,0,Web,Buy One Get One,0,0.8761670511197346
Kimberly Calhoun,091729471,GB,WHVM09525400656532,GB79HIUV13036043160144,VVBPGB8S642,7,116.33,0,1,Rural,0,Web,No Offer,0,0.967665065216894
Steven Floyd,056232482,GB,SZFC80664445683909,GB54QJQS06735750744661,GMSPGBC064B,10,32.84,0,1,Urban,1,Web,Buy One Get One,0,1.358322715848826
Brian Barry,064689069,GB,FKBZ28730499770947,GB20ONRA51761091792333,YGMOGBBIACR,11,37.45,0,1,Urban,0,Phone,No Offer,0,0.44226511081184283
Pamela Howard,103764654,GB,WTQA92009281856356,GB70HWQG30970085245188,VQZLGBW7IRW,1,157.0,1,0,Surburban,0,Web,Buy One Get One,0,1.0592948657024204
Autumn Rogers,036041460,GB,KRCG35886389129231,GB62HNXD78691888288493,OJPPGB6PWT2,10,35.84,1,0,Urban,1,Phone,No Offer,0,1.2338180672956822
Michael Bautista,010962390,GB,VIXU17455996518083,GB20RJXO64632038362739,XSBRGB46MT3,5,119.47,1,0,Surburban,0,Phone,No Offer,0,1.0359211473757866
David Smith,039034429,GB,ZVFC44015452905180,GB84PUOK38547727373107,NRNAGBGPFEZ,4,78.96,0,1,Urban,1,Phone,No Offer,0,1.2275082937033368
David Smith,039034429,GB,ZVFC44015452905180,GB84PUOK38547727373107,NRNAGBGPFEZ,4,173.48,0,1,Urban,1,Phone,No Offer,0,0.5953496391935238
Andrea Greer,125537283,GB,NETT28212525202649,GB37BNXS00345932992635,EXKCGBJ2K1D,5,543.9,1,1,Urban,1,Web,No Offer,0,1.5493796543666745
Kimberly Smith,051261856,GB,QFQV22562758004770,GB81QILR59762322380911,RRORGBSKWFM,2,186.51,0,1,Surburban,0,Phone,Discount,0,1.3515506281446077
Kimberly Smith,051261856,GB,QFQV22562758004770,GB81QILR59762322380911,RRORGBSKWFM,1,81.12,0,1,Urban,0,Web,Discount,1,1.6817713371338896
Kendra Barrett,115968260,GB,QHTW60925957900683,GB42QXPL28498393721570,WCZDGBEHX2M,1,567.13,0,1,Rural,1,Phone,Buy One Get One,0,0.6798107456371747
Cynthia Richardson,126395039,GB,RMXB78875780891056,GB97XHCS81558974940462,MELJGBMZ8DY,1,331.21,1,0,Rural,1,Phone,No Offer,0,0.934443815585492
Ashley Armstrong,107686453,GB,ZRFA30131476698846,GB71OQVR50984190496360,KODFGBKG9SO,7,29.99,1,0,Surburban,1,Web,Discount,0,0.5421508531100588
Ashley Miller,110051554,GB,VLJP54286873345222,GB11NZIT83580372818767,QFAMGB5YP2Y,2,418.81,0,1,Surburban,0,Multichannel,No Offer,0,0.971843082156674
Billy Lloyd,066645412,GB,WGVX16137433323020,GB61SIVV89882696525053,TJQKGBDE09S,4,49.8,1,0,Urban,1,Web,Discount,0,0.5105152282917576
Lisa Cox,129038678,GB,IUZY07379941220513,GB03BARN16668778609990,PVRBGBX5UV5,4,29.99,0,1,Urban,1,Web,Buy One Get One,0,1.0907767606368848
Caitlin Lawrence,040473419,GB,JFZQ56106161088772,GB12TBZI88660573253247,ENNNGBBOWGA,7,233.4,1,1,Urban,0,Multichannel,No Offer,0,1.337125444069891
Robert Padilla,032278884,GB,JRHV47145444553930,GB65ZYWB39725567744012,SYKXGB7VQXI,3,39.37,0,1,Surburban,1,Phone,No Offer,0,1.4580202428873512
Samantha Hopkins,019782827,GB,ASMC19257399514762,GB82JSGV65145318657769,EDGBGBL5516,6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1,0.9868837830301629
Victoria Hayes,030041204,GB,UGSW34037534330280,GB67ZSJS95321127477880,TLMGGBKUUF1,4,110.29,0,1,Urban,0,Web,No Offer,0,1.415614825213599
Brianna Park,038996225,GB,EJOX39434956962529,GB81QKNZ01477145925622,MRRTGBMSV2G,7,29.99,0,1,Urban,0,Phone,No Offer,0,0.4977198879482688
Paul White,099264336,GB,OVJQ85961358952087,GB14HMII15569748546696,YLSDGBJV47O,2,1093.92,1,1,Surburban,1,Web,No Offer,0,1.0660027783114507
Cory Turner,046065915,GB,PWIL65553000966050,GB26LDJH22697696759022,MHOJGBDSMMB,5,135.64,1,0,Urban,0,Web,Discount,0,1.2102016582887558
Susan Harper,096133994,GB,AVBH34828457681700,GB31CPCV38583426092877,DCTDGBKH901,6,835.28,1,1,Surburban,1,Phone,No Offer,0,0.37380272270375425
Craig Clark,093450816,GB,LDFI43980380588966,GB98HFGI20684563398259,MTINGB3O1QK,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0,0.41733683870999727
Pamela Pena,038701588,GB,RSJG58405094085051,GB55SQDY01230164318794,OKTXGB15HRC,11,133.15,1,0,Urban,1,Phone,Discount,0,0.8276468984949323
Stephanie Davis,013433509,GB,PZRV45556588248293,GB48VQBU53643251174334,FSAHGBIEPSP,1,586.52,1,0,Rural,1,Multichannel,No Offer,0,0.7449140550443089
Martin Castro,120076260,GB,PSKY76477318650337,GB85EAYH77780566324969,ZYODGB2PT4J,1,615.04,1,1,Surburban,1,Phone,No Offer,0,0.6731082151950392
Katelyn Diaz,012745418,GB,RWHR87795327729491,GB42CYGS64664767918936,DZHVGBXJ8Z6,7,287.73,1,1,Urban,0,Web,No Offer,1,2.16483577337227
Gregory Steele,088108319,GB,PJQZ10035235507607,GB81DDLG60333128198865,DADUGB1W3Z9,2,289.55,0,1,Rural,0,Phone,No Offer,1,2.3904676720160336
Daniel Palmer,105820321,GB,ZQFR97130590660474,GB59RQST79411892813675,PRLKGBROD2Z,9,48.93,1,0,Rural,1,Phone,Buy One Get One,0,1.7674229336082665
Olivia Garcia,092492406,GB,DETF10109470975206,GB39TJEC84802091255556,CDFMGBLMG0C,7,29.99,0,1,Urban,0,Web,No Offer,0,1.4127539473597692
Allison Miller,028759090,GB,COZD11366374974281,GB34PVLI54211271918812,DCTLGBWEG3X,12,63.28,1,0,Urban,1,Phone,Discount,0,1.2063403475208532
Teresa Cohen,127393904,GB,QJNC06784598367657,GB52WHDD61075036626023,VFCCGBEOZDF,5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0,1.3379462218183804
