name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,score
Jennifer Owen,3714 Tammy Freeway Suite 002,Jasonville,26612,(092)303-7791x8565,Freight forwarder,6,42.66,1,0,Surburban,0,Web,No Offer,0,0.931238100956024
Laura Smith,53451 Waller Crest Suite 622,Wellschester,16730,(310)686-2646x1503,Historic buildings inspector/conservation officer,12,69.08,0,1,Rural,0,Phone,Buy One Get One,0,1.027759194636915
Timothy Hicks,519 Ronald Drives Suite 527,New Ryanshire,64346,+1-605-542-5452x0607,Land/geomatics surveyor,3,549.29,1,0,Surburban,1,Multichannel,No Offer,0,1.5364038484421996
Amber Pratt,215 Richard Crossroad Apt. 393,Ruthtown,37400,(787)421-7584x6937,Sub,9,506.83,1,0,Rural,1,Multichannel,Discount,0,1.2811277973674287
Elizabeth Wolfe,92774 Steven Course Apt. 656,Port Richard,07247,(584)879-4729x425,Retail banker,3,143.93,0,1,Surburban,0,Phone,Buy One Get One,0,0.9273891427189359
Elizabeth Gomez,429 Quinn Trail Suite 535,Petersonmouth,33079,(956)080-6130,Broadcast presenter,10,115.4,1,0,Urban,0,Phone,Discount,0,0.9118644764226544
Russell Sweeney,151 Edwards Forge,East Dana,12072,182-961-2972x52232,Records manager,2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0,1.6429264104670058
Melissa Hammond,412 Peter Glen Suite 434,Coxborough,06475,955.294.7343,"Engineer, aeronautical",6,40.07,1,0,Surburban,1,Phone,Discount,0,0.5461680673647089
Richard King,7462 John Ports,South Marymouth,09400,001-194-981-4115x5769,Nutritional therapist,11,417.21,0,1,Urban,0,Phone,No Offer,0,0.8872196682583375
Ms. Lauren Brown DVM,5147 Katherine Courts,Hardinborough,53955,001-576-145-7898x84614,Records manager,9,61.57,1,0,Surburban,1,Phone,Buy One Get One,0,1.6206719725967007
Shawn Flores,89772 Jackson Spring Apt. 036,Brenttown,84472,681.077.4441x637,Passenger transport manager,5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0,0.6892332455445542
Jacob Black,53542 Patrick Park,New William,94892,793-011-9578,Public affairs consultant,1,259.91,0,1,Surburban,1,Web,No Offer,0,1.5253701420603674
Michelle Taylor,8712 Shields Prairie Apt. 356,East Patriciamouth,42993,001-524-135-4736x1829,Waste management officer,11,53.81,1,0,Urban,1,Phone,No Offer,0,1.2630185167595553
Michael Garcia,55980 Laura Tunnel Apt. 202,North Sherrichester,07165,001-875-038-8886x237,Consulting civil engineer,9,154.15,0,1,Surburban,0,Web,Discount,0,1.8791144652690144
Robin French,009 Rivera Dam,Shirleyville,30034,128.982.7378x48232,Counselling psychologist,10,1009.44,1,0,Surburban,1,Multichannel,Buy One Get One,0,1.2736685515160031
Douglas Bowen,133 Lisa Plains Apt. 359,East Stephanieville,78628,0549472112,Land,2,278.8,1,0,Rural,0,Web,Discount,0,1.100794881678663
Neil Hunt,70977 Gina Forges Apt. 525,Debramouth,40135,+1-319-025-0234,"Chemist, analytical",10,31.12,1,0,Urban,0,Phone,Buy One Get One,0,0.5892586852746771
Thomas Fernandez,035 Adam Trafficway,Blackland,64166,(512)851-6694,Secondary school teacher,2,428.74,1,0,Rural,0,Phone,Discount,0,0.6907506175080365
Darren Hall,619 Jerry Prairie Apt. 432,Brianmouth,66247,(057)937-6499x34664,Hotel manager,7,612.28,1,0,Surburban,1,Phone,Buy One Get One,0,0.5260803001654106
Edward Ward,683 Charlotte Flat,Hubbardbury,60982,(053)768-0374x71703,Bookseller,11,228.09,0,1,Surburban,1,Web,No Offer,0,1.058656217708129
Christian Lawson,555 Courtney Glen,Goodchester,73800,+1-491-052-4476,"Surveyor, planning and development",1,640.58,0,1,Urban,1,Phone,Discount,0,-0.22339494818404226
Christina Rogers,479 Jaime Fords,Jillianchester,87244,179.836.0590x1386,Risk manager,4,194.11,1,0,Urban,0,Phone,No Offer,0,1.0317282112328803
Charles Brewer,1028 Smith Junction,Lyonsside,60526,945.354.6603x285,Broadcast engineer,7,84.49,0,1,Urban,1,Web,No Offer,0,0.36245087247675467
Douglas Thomas,87692 Hurst Burgs,New Anna,45729,001-697-909-3214x76870,Barista,7,235.14,0,1,Urban,1,Phone,Discount,0,0.807669971740034
Justin Meyer,2680 Garcia Dale Apt. 521,Charlesshire,95707,(764)306-5335x00356,Location manager,2,29.99,0,1,Surburban,0,Phone,Discount,0,0.8963598406882097
Karen Rush,3404 Alexandra Crossroad,Meganland,39386,001-252-663-5243,Financial adviser,7,272.32,1,0,Surburban,1,Web,Discount,0,0.5926923967675932
Deborah Fields,609 Dalton Knolls,Wangburgh,68516,493.527.5108x055,Communications engineer,2,95.33,0,1,Surburban,0,Web,No Offer,1,2.484984288734384
Brandon Holden,2504 Reed Gateway Apt. 691,South Yvonne,43623,192.815.4932,Occupational psychologist,5,494.26,1,1,Surburban,1,Phone,Discount,0,1.4385328842276985
Amy Herrera,21697 Michael Crossing,Colonborough,18971,(538)273-0380x064,Tax inspector,2,809.07,1,0,Urban,1,Phone,Discount,0,0.42036353205469135
Kristine Bates,705 David Mountain Suite 439,Port Stephanieburgh,66848,4606108827,Production manager,1,80.42,0,1,Urban,1,Phone,Buy One Get One,0,1.3803589951742046
David Olsen,9315 Tracy Crescent Apt. 002,Tranview,81919,+1-655-698-6816x51400,Early years teacher,10,237.85,1,0,Urban,0,Web,Buy One Get One,0,0.3181649793255308
Lori Edwards,03980 Amanda Summit Suite 798,Port Courtney,26129,+1-472-137-5919x2212,"Research officer, political party",2,82.59,1,0,Surburban,0,Phone,Buy One Get One,0,1.1429481700488964
Michael Miller,72551 Devin Station,North Garyton,53813,+1-558-773-4108x240,"Therapist, occupational",6,165.77,0,1,Urban,0,Web,Buy One Get One,1,2.356830538743279
Theresa King,28524 Burke Extensions,Brycefurt,23295,242-828-5126,"Production assistant, radio",3,101.61,0,1,Surburban,1,Phone,No Offer,0,1.2780919206222157
Aaron Jimenez,02406 David Club,Jeffreyview,48583,001-997-666-7563x622,Market researcher,8,52.64,0,1,Surburban,1,Web,No Offer,0,0.8959968677477629
Justin Burke,7995 Beth Gateway,North Cynthia,90702,001-440-133-1712,Aeronautical engineer,6,466.29,1,0,Urban,1,Multichannel,Discount,0,0.2786651366261512
Dustin Roberts,09845 Miller Forks,Colemanview,18568,813-906-8787x2407,"Conservation officer, nature",3,100.85,1,0,Urban,1,Phone,Discount,0,1.1757622989371028
Jessica Hoover,33890 Grant Plains,Johnsonfurt,45741,(614)146-1447x9067,Clinical biochemist,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0,1.6540917329441092
Brent Mckinney,540 Jacobs Roads,Drakeport,11426,524-555-7963x65187,Quality manager,2,770.58,0,1,Surburban,1,Phone,Discount,0,0.973639030056161
Elizabeth Patterson,18392 Schneider Springs,North Gabrielafurt,19545,001-778-032-4792x072,"Psychologist, forensic",3,1973.87,1,0,Surburban,1,Multichannel,No Offer,0,0.9142356259368178
Robert Sullivan,80968 Dean Knolls,Leville,52839,9532677739,Chief Strategy Officer,3,133.51,1,0,Urban,0,Web,Discount,0,0.8666910028275401
David Rivera,150 Harris Drive,Hudsonchester,80373,(646)517-8929x3846,Community arts worker,8,31.52,0,1,Surburban,0,Web,Discount,0,1.1230884093065205
Jason Cline,850 Mark Island,Jamesberg,90703,923-313-8165x870,Radiation protection practitioner,1,47.44,0,1,Urban,0,Phone,Buy One Get One,0,0.7500139726948181
Joshua Perez,880 David Flat Apt. 490,Lake Michael,22951,453-354-2492,Operations geologist,1,106.27,0,1,Surburban,0,Web,Buy One Get One,0,1.5051094219262724
Bryan Oconnor,27552 Corey Court,Russellland,73742,9228374461,Careers adviser,11,215.46,0,1,Urban,0,Web,Buy One Get One,0,0.879653539708656
Mr. Micheal Bruce,4715 Carpenter Burgs Suite 789,Wattsberg,12800,542-670-9569,Mechanical engineer,11,189.25,0,1,Urban,1,Phone,No Offer,0,1.7440191289405678
Bradley Kane,4119 Johnson Plains,South Judith,98103,(494)070-1544x1007,Health and safety adviser,10,108.12,1,0,Urban,0,Web,Buy One Get One,0,1.101871886872611
Kristin Garcia,708 Simmons Bypass Suite 153,West Sarahland,22719,001-156-446-1761x9676,Medical secretary,8,66.14,1,0,Surburban,1,Phone,No Offer,0,0.6492141622053182
James Hernandez,55797 Mahoney Extensions,Heidiview,74298,810.966.4519x05322,Animal nutritionist,8,98.56,1,0,Surburban,1,Web,Buy One Get One,0,0.5570581937327865
Robert Morris,47285 Dunn Shoals,East Zacharymouth,10839,709.010.5251x430,"Doctor, hospital",6,129.14,1,0,Surburban,0,Web,Buy One Get One,0,1.7913180101925716
Joshua Carter,6449 Nicholas Knoll,New Ashleyborough,28176,+1-769-307-8621x011,"Development worker, community",2,493.17,0,1,Surburban,0,Web,Buy One Get One,0,0.7893846495954358
Victoria Williams,3426 Tracy Court,South Brucehaven,15764,662-194-1260x3364,"Designer, multimedia",11,146.04,0,1,Surburban,1,Phone,Discount,0,1.0174170867653523
Sarah Burnett,9995 Schneider Station,Port Laurahaven,31294,683-108-7961x71247,Restaurant manager,12,29.99,0,1,Urban,1,Web,No Offer,0,1.1835566833589912
Michael Villa,3241 William Spurs,Smithbury,96045,1023682406,Location manager,2,66.6,1,0,Urban,1,Phone,Buy One Get One,0,1.14951772598231
Sydney Saunders,3487 Michelle Square,Port Marystad,93647,+1-683-365-0532,Physiotherapist,12,129.73,1,0,Surburban,0,Web,Buy One Get One,0,1.0234970611987801
Jennifer Cook,7045 Rodriguez Inlet,Port Jeffreymouth,80465,121-228-9040x71186,"Engineer, communications",4,54.41,0,1,Urban,1,Phone,Buy One Get One,0,0.5077237139343489
Allison Huff,1577 Mills Hollow,North Michael,54054,+1-623-011-4674x052,Chiropractor,9,1172.42,1,1,Surburban,1,Web,Discount,0,0.1721400092048021
Kelly Butler,559 Anthony Mews Suite 264,Lake Erinstad,15265,(667)734-0104x630,Trade union research officer,5,244.34,0,1,Urban,1,Web,Discount,0,1.1119057206873155
David Montgomery,382 Jay Mews Suite 479,Kimberlyview,31959,814-329-2328x751,Volunteer coordinator,2,287.04,1,1,Urban,1,Phone,Buy One Get One,0,1.1514509267856958
Elizabeth Turner,16052 Julie Unions,Karenmouth,04108,551-249-6605,Publishing rights manager,4,29.99,0,1,Urban,1,Web,Buy One Get One,0,0.8834954398171552
Jeffrey Green Jr.,127 Owen Fork,Parkerfort,35693,641.361.5287x29459,Chartered loss adjuster,9,151.01,1,0,Surburban,0,Web,No Offer,0,1.0233888750867646
David Grant,57159 Thompson Islands Suite 753,Christopherside,79472,128.290.9390x838,Health promotion specialist,11,35.43,1,0,Urban,1,Phone,Discount,0,1.1981362091025047
Ronald Byrd,58257 Angela Ridges Suite 252,New Alishaview,04675,758-891-3246,Personnel officer,5,84.17,1,0,Urban,1,Web,Buy One Get One,0,0.9371588066799574
Brenda Whitney,433 James Mill,Kruegershire,07464,980.120.5699x6714,"Therapist, drama",3,313.6,0,1,Surburban,0,Phone,No Offer,0,0.8052999013354167
Ashley Thomas,679 Gregory Springs Apt. 374,Wendystad,41948,(172)992-3580x93865,"Journalist, magazine",1,117.27,0,1,Rural,0,Phone,Discount,0,0.2975914129692061
Ronnie Sims,9169 Williams Drive,Rachelton,26740,001-682-592-6934x0452,Secretary/administrator,5,29.99,0,1,Surburban,0,Web,No Offer,0,0.6136841351318325
Edwin Thompson,9547 Pittman Mission Suite 366,East Karenfurt,61543,+1-722-381-3827x17827,Theatre manager,3,1167.93,1,1,Rural,1,Web,Buy One Get One,0,0.7456032594959188
Laura Price,30673 Ruiz Streets Apt. 036,Campbellton,05750,001-731-727-5735x598,Teaching laboratory technician,3,683.2,1,1,Rural,1,Multichannel,No Offer,0,0.7457003654676355
Toni Williams,410 Carr Union,Wilsonfort,38171,(677)867-1947x024,Event organiser,1,110.07,0,1,Urban,0,Web,Discount,0,0.5813756714651397
Lindsey Hebert,97550 Alexander Row,Tylerhaven,77005,047.384.4339x37892,"Engineer, mining",1,102.94,1,0,Urban,0,Web,Buy One Get One,0,1.3946755217313058
Matthew Bell,86460 Allen Squares,West Timothy,29650,001-993-837-1104,"Teacher, English as a foreign language",2,29.99,0,1,Urban,0,Web,Discount,0,1.1693656218393806
Sean Davis,0819 Aguirre Mount,Andreberg,29740,001-500-042-9046x48442,Manufacturing engineer,11,160.04,1,0,Rural,0,Web,Discount,0,0.592061069083051
Michele Johnson,14265 Davidson Mountains,Phillipsside,70866,822.101.8791,"Accountant, chartered management",1,418.68,0,1,Surburban,0,Web,No Offer,0,1.5538691118817503
Jessica Kane,862 Gillespie Fields Apt. 683,Alexanderside,08677,8494561703,Cytogeneticist,11,316.23,1,0,Urban,1,Phone,Discount,0,1.0913329632957656
Glen Phillips,02868 Sonya Inlet Suite 499,Maryfort,17532,+1-309-027-2432x2694,Podiatrist,12,253.06,0,1,Surburban,0,Phone,Buy One Get One,0,0.4332540653228142
Misty Carpenter,368 Johnson Estates,Wilkinsborough,40569,001-571-370-8610x9702,Systems developer,9,329.96,0,1,Surburban,1,Phone,No Offer,0,0.8861555545009777
Philip Johnson,2822 Garcia Greens,New Tonyhaven,97290,1052753667,Financial trader,7,185.73,1,0,Surburban,0,Phone,Discount,0,1.2968592606483904
Ryan Knight,00337 Beard Circle,South Shari,32641,001-184-703-4182,Commissioning editor,11,52.08,0,1,Urban,0,Web,Buy One Get One,0,0.6426386835635788
Rhonda Young,7770 Haynes Cove Apt. 497,West Michael,93754,(646)644-0395x28053,Newspaper journalist,1,616.73,0,1,Urban,1,Web,Discount,0,0.8581968757271125
Terry Palmer,10853 Jessica Fork Apt. 628,Lake Theresa,63762,+1-111-183-2831x36140,Agricultural consultant,9,123.39,1,0,Urban,0,Phone,Buy One Get One,0,0.8436962231683018
Jacqueline Dennis,779 John Neck Suite 111,Marcusberg,30964,809.900.2472,Adult nurse,3,249.71,1,0,Surburban,0,Phone,No Offer,0,0.668673328617136
Sarah Ochoa,0027 Benson Drive,Port Carlaburgh,53549,8464723066,IT consultant,2,46.09,0,1,Urban,0,Web,No Offer,0,1.1681386124267432
Kristin Turner,049 Edwards Lodge,Nicholsport,25386,6835428064,"Programmer, systems",8,48.87,1,0,Surburban,1,Web,Discount,0,0.9155552287702706
Todd Thomas,323 Torres Vista Apt. 145,South Jennifer,28371,+1-771-895-7559x404,Immigration officer,10,77.37,1,0,Surburban,0,Phone,Buy One Get One,0,0.7911112717243388
Holly George,188 Nicole Ways,Dennisfort,30375,(216)950-6635x0190,"Designer, blown glass/stained glass",4,270.24,1,0,Urban,1,Phone,No Offer,0,0.6455965306695006
Jennifer Rogers,9074 Victoria Street,Nancyborough,36295,7414409256,Cytogeneticist,9,228.8,1,0,Surburban,0,Multichannel,Discount,1,2.101596941149838
Jessica Thompson,92105 Moore Drives,Jonesside,79445,288.567.4573x1970,Acupuncturist,3,80.18,0,1,Urban,0,Phone,Buy One Get One,0,1.1363179080511931
Donald Sims,58039 Jeanne Overpass,Smithburgh,20220,001-708-904-2809x296,Patent examiner,11,131.76,0,1,Surburban,1,Web,Buy One Get One,1,2.0621137666619305
Steve Sanchez,250 Simpson Plaza,East Cheryl,99016,+1-406-405-2905,"Scientist, audiological",9,162.59,0,1,Urban,0,Phone,Discount,1,1.3635317547533226
John Daugherty,498 Baxter Trace,Lynchstad,15724,001-543-193-7278x06638,"Psychotherapist, dance movement",12,87.62,1,0,Urban,1,Phone,Discount,0,1.5421721018468308
Chloe Hernandez,0153 Davidson Heights Apt. 673,Carneymouth,88897,637.861.7811x8164,Community pharmacist,3,29.99,1,0,Surburban,0,Phone,Discount,0,0.8419448065935634
Matthew Chambers,705 Myers Crossroad,Williamsshire,33222,+1-975-596-2957,Dancer,3,29.99,0,1,Urban,0,Web,Buy One Get One,0,0.8410462289410628
Jacqueline Medina,66749 Kenneth Circle,New Alanchester,29722,556.590.6298x93089,Graphic designer,7,59.96,1,0,Urban,1,Web,Buy One Get One,0,0.8512545348472453
Joshua Lee,2757 Danny Corners Apt. 719,Morrisburgh,31222,(014)309-6877x520,"Engineer, structural",7,78.49,0,1,Rural,0,Web,Buy One Get One,0,0.5435210865191598
Jose Morales,7273 Jessica Plain Apt. 711,Wendyburgh,45793,(133)884-4879,Hydrographic surveyor,2,29.99,0,1,Surburban,0,Phone,Discount,0,1.80327210171094
Travis Salazar,123 Mitchell Unions,West Shelley,22853,001-129-845-4952x861,Therapeutic radiographer,7,206.8,1,0,Surburban,0,Phone,Buy One Get One,0,0.1594320161226802
Jessica Ali,4898 Daniel Divide Suite 118,Larrychester,89707,674.326.7424x082,"Engineer, energy",7,229.53,1,0,Surburban,0,Web,Discount,1,1.4972431797318204
Matthew Hammond,922 Taylor Ridge,Guerrerochester,26902,001-882-789-3768x3437,Sales executive,1,439.93,1,1,Rural,1,Multichannel,No Offer,0,0.838662334319875
Susan Hernandez,7746 Thompson Causeway Suite 473,Port Matthewburgh,30631,601-288-7877,Market researcher,10,313.67,1,0,Rural,1,Phone,Buy One Get One,1,2.0803118452123
Cheryl Pratt,718 Fisher Landing,New Kathrynmouth,77369,001-899-913-3039x23337,"Surveyor, commercial/residential",7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,0.36190909919815717
Lauren Cooper,7359 Lawrence Course Suite 519,Matthewfurt,06887,9992162016,Prison officer,3,57.33,0,1,Surburban,0,Web,Buy One Get One,1,1.9749314577991814
Karen Cook,3465 Collins Prairie,Marciaview,43928,7853334956,Museum/gallery exhibitions officer,2,289.55,0,1,Rural,0,Phone,No Offer,1,3.074397386672202
Cheryl Freeman,575 Jackson Rapid Suite 222,Birdshire,79588,547-093-2547x23679,Planning and development surveyor,5,29.99,0,1,Surburban,1,Phone,Discount,1,2.180447634297514
Laura Clark,8771 Jean Freeway Suite 749,East Larry,89010,479.808.5021x8183,Forest/woodland manager,9,274.29,1,0,Surburban,0,Web,No Offer,0,0.4957456698070646
Mary Martin,4750 Brady Road,South Daniel,28018,7478717615,"Surveyor, planning and development",1,293.37,1,0,Surburban,0,Phone,No Offer,0,0.6719232005981176
Luke Hall,6714 Eric Expressway,South Ericport,99314,(435)423-6290x339,"Producer, television/film/video",12,29.99,1,0,Urban,1,Phone,No Offer,0,1.1065248279486306
